title;gmd_name;edition;isbn_issn;publisher_name;publish_year;collation;series_title;call_number;language_name;place_name;classification;notes;image;sor;authors;topics;item_code
Model Pendidikan Anak Usia Dini;Text;Cet. 4;9786028730426;Prenadamedia Group;2011;"xiv+114hlm;15x23cm";;372.21 YUS m;Indonesia;Jakarta;371.21;;;;<Anita Yus>;<Pendidikan>;<S250193201><S250193202><S250193203><S250193204><S250193205><S250193206><S250193207><S250193208><S250193209><S250193210><S250193211><S250193212><S250193213><S250193214><S250193215><S250193216><S250193217><S250193218><S250193219>
Cara Super Mendidik Anak Balita;Text;Cet.1;9789792934892;Andi Offset;2013;"vi+154hlm;14x19cm";;372.21 HID c;Indonesia;Yogyakarta;372.21;;;;<Nurul Laily Hidayati>;<Pendidikan>;<S250193301>
30 Permainan Kreatif untuk Kecerdasan Logika Matematika Anak;Text;Cet. 1;9786022890522;Alfabeta;2014;"xii+100hlm;14,5x20,5cm";;372.1 KUR p;Indonesia;Bandung;372.1;;;;<Heru Kurniawan><Titi Anisatul Laely>;<Pendidikan>;<S250193401><S250193402><S250193403>
Pembelajaran Paud Bermain, Cerita, Dan menyanyi Secara Islami;Text;Cet.2;9789796925728;PT Remaja Rosdakarya;2015;"vii+99hlm;15x21cm";;372.21 FAU p;Indonesia;Bandung;372.21;;;;<Mohammad Fauziddin>;<Pendidikan>;<S250193501><S250193502><S250193503><S250193504><S250193505><S250193506><S250193507><S250193508><S250193509>
Perkembangan Anak Jilid 1;Text;Cet. 1;9780070314276;Erlangga;1978;"ix+570hlm;17,5x25cm";;155.2 HUR p;Indonesia;Jakarta;155.2;;;;<Elizabeth B. Hurlock>;<Pendidikan>;<S250193601>
Konsep Pendidikan Anak Usia Dini Dalam Pandangan Maria Montessori;Text;Cet. 1;9789791766694;STAIN Press Cirebon;2009;"xii+126hlm;14x20cm";;372.21 MAS p;Indonesia;Cirebon;372.21;;;;<Moh. Masnun>;<Pendidikan>;<S250193701><S250193702><S250193703>><S250193704><S250193705>
25 Cara Mempengaruhi Jiwa dan Akal Anak;Text;Cet. 2;9795923250;Pustaka Al-Kautsar;2006;"xvi+172hlm;13,5x20,5cm";;150 DIM c;Indonesia;Jakarta;150;;;;<Muhammad Rasyid Dimas>;<Pendidikan>;<S250193801>
Amazing Autism! Memahami, Mengasuh, Dan Mendidik Anak Auis;Text;Cet.1;9789792784336;PT Elex Media Komputindo;2010;"i+187hlm;14x21cm";;371.9 PRI a;Indonesia;Jakarta;371.9;;;;<Andri Priyatna>;<Pendidikan>;<S250193901>
Filsafat Ilmu;Text;Cet. 4;9789791822909;Mulia Press;2010;"xxvi+271hlm;14,5x21cm";;100 SUM f;Indonesia;Bandung;100;;;;<Cecep SUmarna>;<Pendidikan>;<S250194001>
Pendidikan Karakter Konsep dan Implementasinya;Text;Cet. 1;9786024224561;Prenadamedia Group;2018;"xii+260hlm;15x23cm";;371.1 ALI p;Indonesia;Jakarta;371.1;;;;<Aisyah M. Ali>;<Pendidikan>;<S250194101>
