item_code;call_number;coll_type_name;inventory_code;received_date;supplier_name;order_no;location_name;order_date;item_status_name;site;source;invoice;price;price_currency;invoice_date;input_date;last_update;title
S250193201;372.21 YUS m;Pendidikan;4520;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193202;372.21 YUS m;Pendidikan;4521;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193203;372.21 YUS m;Pendidikan;4522;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193204;372.21 YUS m;Pendidikan;4523;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193205;372.21 YUS m;Pendidikan;4524;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193206;372.21 YUS m;Pendidikan;4525;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193207;372.21 YUS m;Pendidikan;4526;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193208;372.21 YUS m;Pendidikan;4527;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193209;372.21 YUS m;Pendidikan;4528;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193210;372.21 YUS m;Pendidikan;4529;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Model Pendidikan Anak Usia Dini
S250193301;372.21 HID c;Pendidikan;4530;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Cara Super Mendidik Anak Balita
S250193401;372.1 KUR p;Pendidikan;4531;;;;UMC Library;;;Sirkulasi;1;;0;;;;;30 Permainan Kreatif untuk Kecerdasan Logika Matematika Anak
S250193402;372.1 KUR p;Pendidikan;4532;;;;UMC Library;;;Sirkulasi;1;;0;;;;;30 Permainan Kreatif untuk Kecerdasan Logika Matematika Anak
S250193403;372.1 KUR p;Pendidikan;4533;;;;UMC Library;;;Sirkulasi;1;;0;;;;;30 Permainan Kreatif untuk Kecerdasan Logika Matematika Anak
S250193501;372.21 FAU p;Pendidikan;4534;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Pembelajaran Paud Bermain, Cerita, Dan menyanyi Secara Islami
S250193502;372.21 FAU p;Pendidikan;4535;;;;UMC Library;;;Sirkulasi;1;;0;;;;;Pembelajaran Paud Bermain, Cerita, Dan menyanyi Secara Islami
